tweet_id,source,text,rating_numerator,rating_denominator,name,dog_growth,date,time,url,prediction,prediction_confidence,prediction_result,retweet_count,favorite_count
892420643555336193,Twitter For Iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,2017-01-08,16:23:56,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,9.7,False,8853,39467
892177421306343426,Twitter For Iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,2017-01-08,00:17:27,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,32.36,True,6514,33819
891815181378084864,Twitter For Iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,2017-07-31,00:18:03,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,71.6,True,4328,25461
891689557279858688,Twitter For Iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,2017-07-30,15:58:51,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper towel,17.03,False,8964,42908
891327558926688256,Twitter For Iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,2017-07-29,16:00:24,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,55.57,True,9774,41048
891087950875897856,Twitter For Iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,,,2017-07-29,00:08:17,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake bay retriever,42.56,True,3261,20562
890971913173991426,Twitter For Iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,2017-07-28,16:27:12,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,34.17,True,2158,12041
890729181411237888,Twitter For Iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,,,2017-07-28,00:22:40,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,56.61,True,16716,56848
890609185150312448,Twitter For Iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,2017-07-27,16:25:51,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,48.76,True,4429,28226
890240255349198849,Twitter For Iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo ,2017-07-26,15:59:51,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,51.13,True,7711,32467
